Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR32115083,2025-01-24 17:37:03,2025-01-24 17:25:56,81525,24377025,81525,299,14,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32115/SRR32115083/SRR32115083.lite.1,SRX27461894,DNA-250122FOR-89,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887727,SAMN46403733,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1175,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,D6133C66D80051C89BBA5131CD46FFE7,1D951E3E6A5132234C7BC9C54D9BD8A1
SRR32115184,2025-01-24 17:37:07,2025-01-24 17:26:00,89148,26323451,89148,295,13,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32115/SRR32115184/SRR32115184.lite.1,SRX27461793,DNA-250122FOR-376,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887625,SAMN46404020,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1179,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,9EEEEB57EB231A0757E198B00F5531B7,B749ADC2F5689D20A9F673C89076FCC6
SRR32114878,2025-01-24 17:23:10,2025-01-24 17:09:25,61298,17439218,61298,284,9,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32114/SRR32114878/SRR32114878.lite.1,SRX27461550,DNA-250122FOR-507,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887383,SAMN46404151,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1180,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,4CD4963A362552B482BADD51924BC31F,E22CEF8C824F92208A8C8D9400DA287E
SRR32114877,2025-01-24 17:23:08,2025-01-24 17:08:54,71456,20921474,71456,292,11,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32114/SRR32114877/SRR32114877.lite.1,SRX27461551,DNA-250122FOR-508,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887384,SAMN46404152,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1181,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,72E2D8CE4082FE84A64E3CA909716CC0,7EF1165CCD05BADF7D8C886967BD0820
SRR32114876,2025-01-24 17:23:10,2025-01-24 17:08:54,81410,23100232,81410,283,12,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32114/SRR32114876/SRR32114876.lite.1,SRX27461552,DNA-250122FOR-509,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887386,SAMN46404153,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1182,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,4D7F3C84507F520E86D6D8564C521385,468A26D81CB3EFF73B7BCFCADC4F6203
SRR32114875,2025-01-24 17:31:29,2025-01-24 17:09:46,69023,20455302,69023,296,11,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32114/SRR32114875/SRR32114875.lite.1,SRX27461553,DNA-250122FOR-510,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887385,SAMN46404154,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1183,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,9EEB5A9157BCC06FE2A63573A348D813,B2855D9C1B4E11A6A4FF739F26765842
SRR32114873,2025-01-24 17:23:10,2025-01-24 17:09:20,123318,36924650,123318,299,23,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32114/SRR32114873/SRR32114873.lite.1,SRX27461555,DNA-250122FOR-511,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887389,SAMN46404155,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1184,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,A6409538D8867FF667D3F7883784F11B,2AD96F3321C4E97138A10B25850C1107
SRR32114872,2025-01-24 17:23:10,2025-01-24 17:09:01,89443,26372489,89443,294,15,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32114/SRR32114872/SRR32114872.lite.1,SRX27461556,DNA-250122FOR-512,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887388,SAMN46404156,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1185,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,53771031E04A05AC1E6E907BB6A58569,22171D7BA9421BFC304845C354BD6509
SRR32115207,2025-01-24 17:36:59,2025-01-24 17:25:53,60022,15844299,60022,263,8,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32115/SRR32115207/SRR32115207.lite.1,SRX27461770,DNA-250122FOR-326,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887603,SAMN46403970,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1200,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,7C01924DC2D50A18D15256324E1BB480,C389A426690709F99D4542AFC27FDE7D
SRR32115108,2025-01-24 17:37:08,2025-01-24 17:25:52,110878,33374819,110878,301,17,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32115/SRR32115108/SRR32115108.lite.1,SRX27461869,DNA-250122FOR-66,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887702,SAMN46403710,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1213,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,B4350582D527C8B8B473641248BB53B1,FE11881385A9051352335308F672BAFF
SRR32114839,2025-01-24 17:23:12,2025-01-24 17:08:56,105590,29729325,105590,281,18,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32114/SRR32114839/SRR32114839.lite.1,SRX27461589,DNA-250122FOR-422,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887422,SAMN46404066,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1231,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,CD51C1CF9D0AA0EBEBB4FEB584F5FE72,22BD20FBB0D5A5917ADB4471EEA3192F
SRR32115150,2025-01-24 17:37:08,2025-01-24 17:25:55,96013,28417535,96013,295,16,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32115/SRR32115150/SRR32115150.lite.1,SRX27461827,DNA-250122FOR-464,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887660,SAMN46404108,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1234,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,C3BA6DEB4F6E1619F92BD7AEBC648038,8D842BAAFD8198D4E6C5050EC69AD668
SRR32115130,2025-01-24 17:37:05,2025-01-24 17:26:01,86825,25761511,86825,296,15,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32115/SRR32115130/SRR32115130.lite.1,SRX27461847,DNA-250122FOR-540,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887680,SAMN46404184,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1245,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,AB7465EB2F72CCDDAD58BFF611AB4D56,2EEA11465BD5C0BC9FCDCA6868A3B17F
SRR32115202,2025-01-24 17:36:59,2025-01-24 17:25:57,109537,32391447,109537,295,17,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32115/SRR32115202/SRR32115202.lite.1,SRX27461775,DNA-250122FOR-360,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887608,SAMN46404004,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1267,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,C1482DA42EF5BC31D719D93DA64DCC7E,3B9C7F1DCDDB573BA833D20D58F8E972
SRR32115029,2025-01-24 17:31:20,2025-01-24 17:20:25,66241,18722246,66241,282,10,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32115/SRR32115029/SRR32115029.lite.1,SRX27461399,DNA-250122FOR-170,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887231,SAMN46403814,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1268,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,F59522895F369F37E966DD8EB1CCDE6E,4DBA14598A488C5AAD84FD6AA9C315E6
SRR32115107,2025-01-24 17:37:02,2025-01-24 17:25:49,98891,29769985,98891,301,16,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32115/SRR32115107/SRR32115107.lite.1,SRX27461870,DNA-250122FOR-67,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887703,SAMN46403711,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1269,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,A85ED2D113A59B74B6CBB944A87898B3,7CFABADF6EB920461E33913F0BE2D013
SRR32115149,2025-01-24 17:37:01,2025-01-24 17:25:56,78602,23414249,78602,297,14,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32115/SRR32115149/SRR32115149.lite.1,SRX27461828,DNA-250122FOR-465,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887661,SAMN46404109,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1272,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,C436926E375CA8E83A86F8F6AC1DFE35,C407BD4CE47B64DC3D732CAC78FDFF36
SRR32115200,2025-01-24 17:36:59,2025-01-24 17:25:57,212912,44389185,212912,208,27,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32115/SRR32115200/SRR32115200.lite.1,SRX27461777,DNA-250122FOR-361,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887610,SAMN46404005,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1273,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,C80BF58D02A2CE1D75A08986A38EA9AF,FDC422C36F93DB1EE734F9D6DFEC7D84
SRR32115106,2025-01-24 17:37:02,2025-01-24 17:25:53,126861,38065875,126861,300,22,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32115/SRR32115106/SRR32115106.lite.1,SRX27461871,DNA-250122FOR-68,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887704,SAMN46403712,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1274,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,04C935E93F554124195D888B06E1D266,117D755CA2940FAA4CC43A967C912930
SRR32115004,2025-01-24 17:31:21,2025-01-24 17:20:04,82170,23585405,82170,287,12,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32115/SRR32115004/SRR32115004.lite.1,SRX27461424,DNA-250122FOR-192,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887257,SAMN46403836,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1275,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,3547410C4AED59EF7EBDF61505C347A9,29CA0F0FABB33367E7E3A86E74443D0B
SRR32115148,2025-01-24 17:37:05,2025-01-24 17:25:51,79919,22950011,79919,287,12,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32115/SRR32115148/SRR32115148.lite.1,SRX27461829,DNA-250122FOR-466,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887663,SAMN46404110,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1276,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,C4E9026FC21F276BD9B603E372FE5994,D408E706F3E9FFA5FD6824BE009B3DDD
SRR32115147,2025-01-24 17:37:07,2025-01-24 17:25:51,81120,23468779,81120,289,13,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32115/SRR32115147/SRR32115147.lite.1,SRX27461830,DNA-250122FOR-467,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887662,SAMN46404111,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1280,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,9C8F9B53E8F96E8ACD1A59B9ED205B5D,B0A98745B25D4619BC45755FEA2AFE23
SRR32114763,2025-01-24 17:23:08,2025-01-24 17:09:24,160738,47879223,160738,297,28,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32114/SRR32114763/SRR32114763.lite.1,SRX27461665,DNA-250122FOR-145,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887498,SAMN46403789,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1446,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,62D1CCF42E53CBD58588A1DC395D32EE,898FB1DFC948497EE010044DABC73B8A
SRR32114900,2025-01-24 17:23:09,2025-01-24 17:09:20,87534,26086605,87534,298,17,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32114/SRR32114900/SRR32114900.lite.1,SRX27461528,DNA-250122FOR-41,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887360,SAMN46403685,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1450,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,1196DAF87D44C807BE2F2871CE6402D6,49A37EDCFD1AB76D00EA1E7A57669167
SRR32114918,2025-01-24 17:31:28,2025-01-24 17:19:46,106524,29699025,106524,278,18,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32114/SRR32114918/SRR32114918.lite.1,SRX27461510,DNA-250122FOR-356,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887343,SAMN46404000,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1452,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,033548BFED6E85371DBD74A7D6D487B8,E740203B7C4F3FA46136E733B9006AB7
SRR32115030,2025-01-24 17:31:24,2025-01-24 17:20:20,72674,20325187,72674,279,10,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32115/SRR32115030/SRR32115030.lite.1,SRX27461398,DNA-250122FOR-169,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887232,SAMN46403813,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1453,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,CC73162EBF9414DD20B0BF500E0E0EAF,B8ED5843E83747010ADF97014CBE4842
SRR32114863,2025-01-24 17:23:10,2025-01-24 17:09:21,96100,28675102,96100,298,19,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32114/SRR32114863/SRR32114863.lite.1,SRX27461565,DNA-250122FOR-53,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887398,SAMN46403697,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1457,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,70A7B908FDE3CB4565530D6170D4B025,5748C8DCE55B0622BCB6BB4B366BCA1E
SRR32114889,2025-01-24 17:23:17,2025-01-24 17:09:33,100866,30194294,100866,299,20,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos7/sra-pub-zq-41/SRR032/32114/SRR32114889/SRR32114889.lite.1,SRX27461539,DNA-250122FOR-42,AMPLICON,PCR,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina MiSeq,SRP559715,PRJNA1215398,,1215398,SRS23887372,SAMN46403686,simple,1773,Mycobacterium tuberculosis,TIS-220831FLY-1459,,,,,,,no,,,,,HARVARD TH CHAN SCHOOL OF PUBLIC HEALTH,SRA2059444,,public,C040EAA216A4F4B3CB1E05ABCAA04288,97DEE3A81EA300E6A40495CF0EBA01FD
